venueID,paperID,startPage,endPage
eo7pq787-1ibl-lm92-1ykz-pzj78gv6pnxx,177163529,47,75
9wk76w7w-r1wq-hy29-9anb-jtryy85hvntk,177163529,50,57
xpfd7y8t-jsyx-i8v7-hky1-di3bw22t1bk7,189615356,71,87
9h7ioalu-j3d8-zaw9-sw7w-cr4ijex5wao3,189615356,86,155
gl10qgsj-yctb-ly23-wp3a-c9ss0hrmjfqx,189615356,16,59
erexbv09-azmb-t430-ick3-rbkyf0sfas7j,189615356,37,119
wo8khxae-huya-hwqq-iasa-os9gsgkgc784,189615356,98,183
c1llvhy3-gze0-s3sq-5m4w-a8c89htbb8lo,189615356,40,97
6f57bnpn-skpc-x20r-67te-4il6cowv6c76,189615356,31,32
xxvlg10d-k5ab-bf5h-evzz-upjtioszfjvg,189615356,12,27
3vjjxul6-poi3-iwev-bq5b-yqlnezwnxixj,189615356,80,93
ydw5hua0-l5k5-my7y-auqz-k6r2lbjtw8vs,189615356,99,156
frcwmpz4-e7sj-no0v-mqq8-handkwpgc4ry,189615356,50,96
o8wo92ss-i946-ppti-vmok-xa27fm03k3oq,189615356,87,111
9xchluqm-6vp4-s89o-u5w1-w55dgy9i8s5e,189615356,17,67
gl10qgsj-yctb-ly23-wp3a-c9ss0hrmjfqx,187221758,77,148
49pwixvy-nm30-5pz4-k18s-yug6vlykyywj,187221758,85,129
8fhfzprd-n45u-dj2h-49lr-mouz6q9mo8rp,187221758,3,89
w8zrh0vl-42xu-cxvl-2y71-f9jldpmjkljn,187221758,19,59
qw21hipb-5gu4-k65b-k0xc-jy11g9yv3hc4,187221758,37,63
oor3odtj-ck8g-y6ov-1t7y-01wy8gp3y12e,187221758,55,83
5wa2gjh2-wb3u-bf3b-xf7n-kf8b3rth25tl,187221758,64,70
mqfhxlmf-e121-2c0d-gt6z-yvxwevlhb2z6,187221758,55,64
rf4gkbdl-0mm2-xcgr-froy-ogckpp6ktjc2,187221758,20,42
tmvs4q5x-6xk3-57ei-j1dx-z5nnvbnokiqp,182160933,85,109
0oegg4o0-hjuy-ui7x-qxo3-4yedoumhcoju,182160933,83,168
808qob46-3fcl-elyr-f8rk-bkgtb3qxmlhb,182160933,52,107
y143izc6-idje-ilyj-thft-qmcuslqvglgf,182160933,85,173
tdm3f845-o7qq-0s35-hzp7-gaapl5vga92u,182160933,14,26
376s5hvy-eqcd-bhtp-m8gj-6dn3f3uhhx2l,182160933,6,34
8wgjjh06-7wk9-9kq4-vmdi-7d1qjqs0jxgn,182160933,20,105
pd7zx1cq-os38-n3en-nk6t-iulsfzwp02ka,182160933,83,101
lw94admo-1kky-dt5i-bdrc-48s4vuavkk8s,182160933,91,176
2q5y029k-569w-zcxh-lgp2-wj7ju592b7w9,182160933,75,114
uw815088-afxq-79th-z6o6-ocse4nejit6r,246009114,83,178
8igemviq-yxuv-vqia-kuyb-4dhh72i2wkf0,246009114,37,106
cuapaz4m-iu5o-demj-ufmu-s5v3b2aqhtg5,246009114,98,171
setf25vq-nag1-9xk3-qu4b-gd7hqf24tanb,246009114,76,160
7pp6fpix-gih1-269t-y2bc-so44y1ulbsr7,246009114,44,70
4zsiz03w-frjj-d77g-qau7-r55cnau8i9vk,246009114,22,28
v5zzoqxc-uvv0-6vef-9s7e-7w599oo86f1o,246009114,48,55
740bqno6-pc45-v9kv-7745-4jsvr4caxq8y,246009114,75,88
q0kdy026-vbnm-hhg2-rhjr-5vw7t437s0b9,246009114,63,111
2ezq8z2z-l4pc-478j-oudd-orsztmtq3zaz,246009114,97,151
7wj5imnp-cpne-zba0-u9bc-p1slthsun6bx,110184512,15,20
tf3n8sni-krza-61vf-dn9v-p1ewk4zymx5s,110184512,92,138
o6t42u5t-8wbn-fnsp-96ul-pc1s25q43y3q,110184512,47,89
83m7j3e2-sa5m-ngp3-fdlp-r9233ndawuyy,110184512,100,131
xugk8gj6-rfky-o8wp-rtzk-a0p7owgt2umo,110184512,90,161
rf4gkbdl-0mm2-xcgr-froy-ogckpp6ktjc2,115925191,70,110
740bqno6-pc45-v9kv-7745-4jsvr4caxq8y,115925191,87,97
lw94admo-1kky-dt5i-bdrc-48s4vuavkk8s,115925191,45,72
wpua0qrx-n5cr-jjqh-h147-9ukpo4aan13w,115925191,7,23
qw21hipb-5gu4-k65b-k0xc-jy11g9yv3hc4,115925191,72,89
55fqkwb4-gvja-qx5k-8u64-lotnrpggi6q5,115925191,67,69
frcwmpz4-e7sj-no0v-mqq8-handkwpgc4ry,115925191,77,140
3mppdaq4-joij-luou-259f-qgokmiib7j3x,115925191,66,120
o8wo92ss-i946-ppti-vmok-xa27fm03k3oq,115925191,52,143
wrqf1ws9-1g26-gqgk-ozsq-mu1px0ktovx6,115925191,64,73
d04yvlz1-gfcn-jitx-60qs-0l879faj7g3p,126089984,48,93
oqny3fmj-6vye-yvrp-lty7-l4dx743a1da5,126089984,9,52
9jzx0b8x-jolg-kxw8-dzj6-ue9g0767zugf,126089984,78,102
8bidylwe-v3zu-bubs-gqin-b5dj6wlia7rl,126089984,16,20
wm24isw9-6hpx-yvfq-xqnd-kfc3tk8ih7av,126089984,57,108
yd0y6ql9-yxes-hq6u-dydy-tg3up2r2wp36,126089984,65,107
bf8pq8n6-wiaj-i32h-ewaa-tb8qpaxvso61,126089984,5,32
7cisqv80-rl9m-n30p-bkr0-5dvs7cm4ixwx,126089984,37,78
zkxieg2g-mt94-n7f3-1hya-5ba8sew8ohd4,126089984,90,127
mqfhxlmf-e121-2c0d-gt6z-yvxwevlhb2z6,126089984,20,61
9jzx0b8x-jolg-kxw8-dzj6-ue9g0767zugf,223988116,61,142
3npeq7ij-o7gk-v6m4-ch6s-rsl9pgkw3h2z,223988116,58,118
cuapaz4m-iu5o-demj-ufmu-s5v3b2aqhtg5,223988116,35,91
7adfp347-6wl0-5gbq-nyv6-b8llmsl5bziu,223988116,93,131
83sjho4u-enxb-nt50-c43o-nyh9ywgmmco7,223988116,11,95
0yzn37jt-apiy-9y0k-ic7b-3rnxyrqzvzob,223988116,51,111
ydw5hua0-l5k5-my7y-auqz-k6r2lbjtw8vs,223988116,13,92
9zd2ut49-z4u8-o1pc-7fa4-18bwzlb7w0av,223988116,42,91
xl8t0e3s-gsve-ltcs-0pu7-hj7olehyn0kh,223988116,73,146
cbnbgy9n-l23d-fahv-dc8r-s3fjryk3cu39,223988116,79,147
h7xfco1p-rivt-2bxw-akaq-yqu3i92h0udm,161317546,79,137
qr07i712-e8gc-t51d-krtt-0mu7teng4cs2,161317546,4,28
rw8tewnd-h9i7-a560-z5em-lwov05hzew6y,161317546,21,120
gr2rlqur-kqob-3gn4-gbt7-v1ml9cio5kb6,161317546,43,123
du8saixa-1osi-eywn-in7y-9cvc1h5aoy9o,161317546,86,107
l925jhwo-9fwh-ydy8-80vf-b4x541gakrba,161317546,42,48
erexbv09-azmb-t430-ick3-rbkyf0sfas7j,161317546,13,45
ys22a7si-beo6-1pq1-odkp-3qz3r3ycn7wr,161317546,6,51
06pfnvun-6rzh-1ov2-oqbn-6kva5iyojmrn,169100438,21,94
xmba8sqj-bd7f-veyo-plsc-8lpthju3bfze,169100438,19,44
m9onnsgg-o8m8-41gc-6m8a-k27ayp2eg528,169100438,30,69
eo7pq787-1ibl-lm92-1ykz-pzj78gv6pnxx,169100438,96,183
8igemviq-yxuv-vqia-kuyb-4dhh72i2wkf0,169100438,57,122
6su08a29-8v1e-x8cl-2id5-irqju5klwnw1,169100438,19,106
izj48gwi-e5ve-pmpi-sp2w-8b56uia6i3xw,169100438,76,166
v98i8i45-zbq5-vzo6-ia5v-hdx3x0uwn2vm,169100438,26,47
op08brad-gzk5-fsyb-5g05-9v7dfrdltwjo,169100438,68,90
9hlm451h-jlaw-6ig7-djmr-f4o5b7qat3yg,169100438,30,94
ru7z0ey0-xe89-2qrd-bsst-6x0n7pkpb99d,169100438,96,112
zkxieg2g-mt94-n7f3-1hya-5ba8sew8ohd4,169100438,13,52
w5iasd80-z4nv-5mxa-glzf-iadopkzlqdhd,169100438,81,104
cgmdgs4d-eapx-i2iz-ecea-92vsgutvv95k,169100438,90,93
02s0yi9l-szyq-mk0k-nhyd-mylhw38vsn1u,223680107,65,75
opfbgzki-ez5x-2aqf-59rl-pf4gkhco0989,223680107,56,126
rf4gkbdl-0mm2-xcgr-froy-ogckpp6ktjc2,223680107,40,53
7adfp347-6wl0-5gbq-nyv6-b8llmsl5bziu,223680107,98,156
rfd7iivu-6tqq-ozv4-nhgn-8ds4sexgbotu,223680107,82,86
zg5ccyuh-wprg-0kx5-007g-549gj4215d5v,223680107,19,53
3vjjxul6-poi3-iwev-bq5b-yqlnezwnxixj,223680107,43,60
5l5a1pgl-ekn4-3xgp-cmjh-rn63ojvd9oxq,223680107,57,153
km3afamj-gx2y-83zf-5y10-qprjaujz6fi1,223680107,94,154
ff5cysvh-wdj7-hwwv-lw8h-mh75uknzgpxb,223680107,39,54
3d1qymo8-9qyy-44tp-p089-psive15sct1s,109900804,81,165
tgfmevlv-8klu-pnb4-0cb2-q87nyc3wfa4s,109900804,26,93
wrqf1ws9-1g26-gqgk-ozsq-mu1px0ktovx6,109900804,80,108
mqfhxlmf-e121-2c0d-gt6z-yvxwevlhb2z6,109900804,25,30
h7xfco1p-rivt-2bxw-akaq-yqu3i92h0udm,109900804,85,172
17shajnd-ruz0-t9a4-ry0y-nddgxc4pqr8p,109900804,67,92
21t77ucb-o0gq-y9vr-qqom-gldpq3c1w7zh,109900804,81,120
tb448uuw-ans4-1cu3-802z-yl2owaq2gnz7,109900804,36,97
esvxrdm8-asxy-bv6s-04j6-6dy6rwn15kaf,109900804,37,55
3dry490r-pamd-304b-0z0h-eekibkivb95g,109900804,69,120
k4ohl8tr-jn5u-hrsg-6wng-ubsjwl4bkz17,109900804,42,59
6o4zkhc2-aoxe-hbmg-budu-ibc388nlucjg,236770002,57,133
gr2rlqur-kqob-3gn4-gbt7-v1ml9cio5kb6,236770002,81,121
spj1tf7g-rd0o-4sct-xssj-tf2sfxeqmme8,236770002,26,102
376s5hvy-eqcd-bhtp-m8gj-6dn3f3uhhx2l,236770002,43,80
37r8xu5e-9vbl-00y2-7stx-64o4vyfrupme,236770002,62,137
keli4g71-0ow5-l5c8-n6sq-999xwmqkafnu,236770002,90,189
1ppcajvk-pq6m-9eu9-89vx-3xafi6c11a79,236770002,87,120
9w3cr51a-62sn-2e9a-35vd-mem5acvux39r,236770002,81,144
ri6hlx8e-2a32-akzg-xks2-r9hvyb0483vj,160964077,80,107
cuapaz4m-iu5o-demj-ufmu-s5v3b2aqhtg5,160964077,72,128
spj1tf7g-rd0o-4sct-xssj-tf2sfxeqmme8,160964077,63,68
rshhl5wj-xenw-e1h1-d2l6-pdn7klca9khp,160964077,10,109
j3o0o61z-9mye-5csi-4gih-3w9b27wsxnyd,160964077,8,22
9jzx0b8x-jolg-kxw8-dzj6-ue9g0767zugf,160964077,13,74
du8saixa-1osi-eywn-in7y-9cvc1h5aoy9o,160964077,51,77
su6j3ahh-m4is-bdxg-j7k1-qluakhlxwh5p,160964077,67,157
2nupves1-0oql-gx6r-rsou-fi4gtjdzf5gp,160964077,68,160
0e6mnr66-jvx3-rceg-w2vu-b5q114pfj02x,160964077,95,97
o8wo92ss-i946-ppti-vmok-xa27fm03k3oq,160964077,71,164
hitan7il-lubz-ayzs-ooge-5uiwn6d14bxp,160964077,85,112
55fqkwb4-gvja-qx5k-8u64-lotnrpggi6q5,189276670,16,33
2ezq8z2z-l4pc-478j-oudd-orsztmtq3zaz,189276670,60,146
4wy8nvgl-nkff-jur5-njs2-byoimarjaqlp,189276670,18,98
uw815088-afxq-79th-z6o6-ocse4nejit6r,189276670,69,146
3vjjxul6-poi3-iwev-bq5b-yqlnezwnxixj,189276670,79,119
769iv6g8-xovf-r6pn-uqzc-6fm6mbmrofuf,189276670,69,164
cgmdgs4d-eapx-i2iz-ecea-92vsgutvv95k,189276670,72,114
9h7ioalu-j3d8-zaw9-sw7w-cr4ijex5wao3,189276670,64,145
v98i8i45-zbq5-vzo6-ia5v-hdx3x0uwn2vm,189276670,83,157
7dpg0jpt-k2ix-zb5t-11kj-mot26jmk7ko5,189276670,37,59
eltbkycf-vzv2-q5aq-erx2-agofj8qti5dz,64797097,86,146
s5ya84y1-9m6t-gvj5-9j54-en0xsjdnk8e5,64797097,93,109
mqoua9ss-ldo4-nwle-4snl-q2u15k9hh7yo,64797097,36,54
w5iasd80-z4nv-5mxa-glzf-iadopkzlqdhd,64797097,32,43
ydw5hua0-l5k5-my7y-auqz-k6r2lbjtw8vs,64797097,13,92
3dry490r-pamd-304b-0z0h-eekibkivb95g,64797097,75,112
v98i8i45-zbq5-vzo6-ia5v-hdx3x0uwn2vm,64797097,44,62
a7hhre9l-vuls-34g5-n7re-u3m6kgq7kamt,194092568,97,118
1ppcajvk-pq6m-9eu9-89vx-3xafi6c11a79,194092568,1,39
xl8t0e3s-gsve-ltcs-0pu7-hj7olehyn0kh,194092568,65,145
ovig1uw0-8eek-qwh2-lykv-3b17bggjhwzz,194092568,1,93
vk9w333c-ro0h-q9n5-s00c-9sdfqwja6w90,194092568,29,86
0i4cbrhu-1ruy-jkcu-th4v-6l97d8ao8qcm,194092568,56,78
b1a70ilc-31vv-bgg0-k313-vwopbu82g2hg,194092568,38,78
v98i8i45-zbq5-vzo6-ia5v-hdx3x0uwn2vm,194092568,39,138
qrgbqmyk-th04-ukqq-gs9n-8pijn1lga4zg,194092568,100,108
tf3n8sni-krza-61vf-dn9v-p1ewk4zymx5s,194092568,93,124
2nupves1-0oql-gx6r-rsou-fi4gtjdzf5gp,194092568,57,86
x7gkyw2u-xb5l-tirb-pv1s-gjvms5v0px0u,194092568,1,7
tdm3f845-o7qq-0s35-hzp7-gaapl5vga92u,188779287,52,70
6ntieguf-3cco-hzdi-fsep-m36kwycuuqd7,188779287,41,120
9wk76w7w-r1wq-hy29-9anb-jtryy85hvntk,188779287,64,133
7fp0ib8n-kkvu-1zkf-kbvc-3g9oaolppfaj,188779287,59,152
w8zrh0vl-42xu-cxvl-2y71-f9jldpmjkljn,188779287,37,56
ppsfet3u-h6cz-vd8z-l8zs-lelp01dow8u0,184226317,51,104
44beoqnc-8ici-kj00-n13h-hdmmyib75jsn,184226317,84,158
epbshn0c-dfnu-e7d4-tnv3-7yh9px6abl2n,184226317,45,118
ngrwkj40-brhi-wahi-0u64-9boxcpvvng8q,184226317,40,100
8tg2bjqv-i23t-h54w-xhow-qr7fgawx22yj,184226317,99,163
wrqf1ws9-1g26-gqgk-ozsq-mu1px0ktovx6,184226317,50,70
li9ws8hf-ciov-x95e-nunf-6eidbalau19m,184226317,95,195
c1llvhy3-gze0-s3sq-5m4w-a8c89htbb8lo,184226317,24,36
3vjjxul6-poi3-iwev-bq5b-yqlnezwnxixj,184226317,56,143
qgi3vk2b-5gae-utcj-usfn-49gvg61vwvop,184226317,12,59
mqfhxlmf-e121-2c0d-gt6z-yvxwevlhb2z6,184226317,27,121
376s5hvy-eqcd-bhtp-m8gj-6dn3f3uhhx2l,184226317,7,97
710wy49k-nwmt-gtr1-h43r-ylzatc3kc2fd,184226317,1,54
h7xfco1p-rivt-2bxw-akaq-yqu3i92h0udm,184226317,23,101
erexbv09-azmb-t430-ick3-rbkyf0sfas7j,184226317,84,97
nz5twaof-mtxa-hjcp-tob8-12opx9qe9yvf,183655203,4,88
o4vq5ro2-v4gr-ho7p-dloo-0e4a882uiq8d,183655203,9,79
o8wo92ss-i946-ppti-vmok-xa27fm03k3oq,183655203,8,54
4wy8nvgl-nkff-jur5-njs2-byoimarjaqlp,183655203,94,105
o6t42u5t-8wbn-fnsp-96ul-pc1s25q43y3q,183655203,34,44
lw94admo-1kky-dt5i-bdrc-48s4vuavkk8s,183655203,70,98
e2bjnzc4-xaz1-ztuj-aard-43tuw57e53r6,183655203,6,75
xpfd7y8t-jsyx-i8v7-hky1-di3bw22t1bk7,183655203,66,155
6f57bnpn-skpc-x20r-67te-4il6cowv6c76,183655203,79,138
8fhfzprd-n45u-dj2h-49lr-mouz6q9mo8rp,183655203,67,73
uw815088-afxq-79th-z6o6-ocse4nejit6r,183655203,17,54
8fhfzprd-n45u-dj2h-49lr-mouz6q9mo8rp,182958528,91,161
pucuc1d4-r49c-a6t7-vnz9-8oa7kdr10mrw,182958528,97,169
43z31mbk-ujtc-snd8-fced-nuoo34ftbxw9,182958528,74,103
trihf8fb-0xh5-bswc-p8eo-svvplhj4k4vi,182958528,42,130
xugk8gj6-rfky-o8wp-rtzk-a0p7owgt2umo,182958528,64,162
w5iasd80-z4nv-5mxa-glzf-iadopkzlqdhd,182958528,79,124
s14q4ctv-74n7-uaz6-1857-0x6clf5qkvv9,182958528,95,150
nz5twaof-mtxa-hjcp-tob8-12opx9qe9yvf,182958528,90,136
n4d2byd3-uuad-v78u-htsh-lb61n7vk66hh,182958528,98,162
uwol4ul4-jjx8-4rr6-oafi-1re0z6p3kf6k,163583508,7,14
ngrwkj40-brhi-wahi-0u64-9boxcpvvng8q,163583508,30,39
ko03bvbw-zp3u-a31t-ar5s-6x5agergq0pp,163583508,81,103
tgfmevlv-8klu-pnb4-0cb2-q87nyc3wfa4s,163583508,3,53
3d1qymo8-9qyy-44tp-p089-psive15sct1s,163583508,99,124
afuq7k9k-m9ha-91ue-eli8-pi4i4w670241,163583508,27,94
83sv0omb-zmt5-eg07-fo3b-1jwe02hfaeuf,163583508,98,109
tb448uuw-ans4-1cu3-802z-yl2owaq2gnz7,163583508,38,115
b1a70ilc-31vv-bgg0-k313-vwopbu82g2hg,163583508,7,59
0dm0wdwu-z0hw-dzau-kjx9-h8woklih0wbv,163583508,60,160
ujempn9d-t3jx-bzu0-1ek1-4hr6uh35575u,163583508,70,129
3vjjxul6-poi3-iwev-bq5b-yqlnezwnxixj,163583508,62,102
ilyf5k2f-1sd2-c95m-sqq9-m4tek3n2wjuy,163245903,24,78
e3yvbmfx-awoz-86ds-5o84-lj82y3cai3mb,163245903,53,148
qr07i712-e8gc-t51d-krtt-0mu7teng4cs2,163245903,93,142
y813lsj7-1vg1-lqlk-ojlg-cyxmgs9sz9rh,163245903,94,152
0rv4lpgd-7jxc-ijkz-l9p6-l56a4jrw62oe,163245903,67,104
xyqsgjgf-as1u-l8zy-d9s7-qbqhj1gyqx5j,162433415,90,145
dg2egpng-6a05-43bo-8f38-2zmi0lfa00z0,162433415,93,98
6rqfvbxz-jxdz-gkbv-5be4-v8dpnhrnqvz1,162433415,62,159
c9jfmq4s-ymmo-1b32-xwzi-37yztjziv2uy,162433415,24,82
6ntieguf-3cco-hzdi-fsep-m36kwycuuqd7,162433415,43,51
kvjuvgko-dofj-sp0j-567f-w46jac6rmtrw,162433415,1,59
frcwmpz4-e7sj-no0v-mqq8-handkwpgc4ry,162433415,6,46
8wgjjh06-7wk9-9kq4-vmdi-7d1qjqs0jxgn,162433415,12,63
su6j3ahh-m4is-bdxg-j7k1-qluakhlxwh5p,162433415,67,85
qsi7wipr-ytq2-h699-697j-zz46nk3tb4xr,162433415,42,66
pkp2n0th-qnqq-38kd-2kt6-vr0ji31kt9xb,162433415,36,118
xl8t0e3s-gsve-ltcs-0pu7-hj7olehyn0kh,162433415,18,103
qwr10age-6wff-1a8y-e8zb-uq4c9v0wbk0e,162433415,14,110
3npeq7ij-o7gk-v6m4-ch6s-rsl9pgkw3h2z,162433415,20,93
1i6yymae-okpd-5vvn-zz9e-8tyl1luow8cl,161014320,9,12
0dm0wdwu-z0hw-dzau-kjx9-h8woklih0wbv,161014320,55,93
2q5y029k-569w-zcxh-lgp2-wj7ju592b7w9,161014320,7,33
w5iasd80-z4nv-5mxa-glzf-iadopkzlqdhd,161014320,86,119
noivppe6-sdcn-4hsb-jqko-204n8gb4xygc,161014320,54,75
spj1tf7g-rd0o-4sct-xssj-tf2sfxeqmme8,161014320,44,88
o569z5aq-ctyt-6hc6-zst4-x4t1d654qxgt,161014320,49,66
xugk8gj6-rfky-o8wp-rtzk-a0p7owgt2umo,161014320,100,118
tf3n8sni-krza-61vf-dn9v-p1ewk4zymx5s,161014320,22,101
35xx2qwt-qekm-a0b2-xluo-ufmta5l5723r,161014320,44,84
qwr10age-6wff-1a8y-e8zb-uq4c9v0wbk0e,161014320,25,78
qrgbqmyk-th04-ukqq-gs9n-8pijn1lga4zg,161014320,58,126
6ntieguf-3cco-hzdi-fsep-m36kwycuuqd7,161014320,33,105
0i4cbrhu-1ruy-jkcu-th4v-6l97d8ao8qcm,158594015,47,91
8tg2bjqv-i23t-h54w-xhow-qr7fgawx22yj,158594015,79,84
rw8tewnd-h9i7-a560-z5em-lwov05hzew6y,158594015,8,98
ydw5hua0-l5k5-my7y-auqz-k6r2lbjtw8vs,158594015,3,85
808qob46-3fcl-elyr-f8rk-bkgtb3qxmlhb,158594015,65,101
9hlm451h-jlaw-6ig7-djmr-f4o5b7qat3yg,158594015,73,142
ngrwkj40-brhi-wahi-0u64-9boxcpvvng8q,158594015,86,148
eocvkarh-mues-5fgn-vz31-mfshposeic1y,158594015,35,40
c7mtr4si-8zui-pjex-oxg2-dbxczvgkmt0p,158594015,62,151
jyra5n9q-c3fw-ghg9-bssf-slbfeixtmq1s,158594015,77,146
k4ohl8tr-jn5u-hrsg-6wng-ubsjwl4bkz17,158594015,42,130
mobw5asf-txfb-0qwo-lyox-dzre0qwjchlf,159212743,48,140
5gniavaq-35gx-vfjc-xrnl-kw33fl55cmf6,159212743,79,117
o4vq5ro2-v4gr-ho7p-dloo-0e4a882uiq8d,159212743,68,110
pucuc1d4-r49c-a6t7-vnz9-8oa7kdr10mrw,159212743,70,111
yhzm0gwe-j6pg-7d5s-nvsw-uvw3jy3q25o5,159212743,67,103
v9rm762m-g7s1-a39k-15n6-x4wmneg8cdby,159212743,98,183
liya0npa-0ifl-8r0k-yteb-hzrd8mtt9vbj,159212743,49,146
tdm3f845-o7qq-0s35-hzp7-gaapl5vga92u,159212743,26,123
8wgjjh06-7wk9-9kq4-vmdi-7d1qjqs0jxgn,159212743,73,94
vk9w333c-ro0h-q9n5-s00c-9sdfqwja6w90,159212743,77,157
qsi7wipr-ytq2-h699-697j-zz46nk3tb4xr,192803013,1,62
